;-----------------------------------------------------------
;ICAO	Latitude	Longitude	City/Airport
CCX3	45.566658	-067.099998	Brockway
CCX4	47.966663	-055.849998	Bay D'Espoir
CCZ2	54.179718	-058.457500	Rigolet
CCS4	46.149998	-065.900002	Chipman
CCZ4	46.341106	-060.979721	Margaree
CCZ5	45.560547	-062.594723	Thorburn
CCY3	45.683331	-065.550003	Sussex
CCV4	47.633327	-052.983334	Bell Island
CCS5	45.986382	-065.301941	Havelock
CCS3	45.207493	-067.250557	St Stephen
CCR3	46.426105	-067.628052	Florenceville
CCE3	46.564159	-067.168610	Juniper
CCQ3	45.418606	-063.460556	Debert
CCP4	52.533329	-056.283333	Port Hope Simpson
CCP2	49.056103	-055.448055	Exploits Valley (Botwood)
CCN2	44.713329	-066.796387	Grand Manan
CCM4	50.688885	-057.331390	Port Au Choix
CCQ4	45.813610	-064.235832	Amhearst
CCU3	45.611938	-062.621113	Trenton
CCM3	47.183334	-066.150002	Sevogle
CCE4	53.469444	-055.785000	Black Tickle
CCF3	45.472500	-062.718056	Hopewell
CCF4	44.709999	-063.301666	Porters Lake
CCG3	46.037491	-066.858887	Weyman
CCH2	46.587494	-067.719170	Upper Kent
CCH3	45.616661	-066.550003	Blissville
CCH4	52.764992	-056.115555	Charlottetown
CCJ3	47.449993	-067.616669	Boston Brook
CCK4	52.366661	-055.683334	Fox Harbour
CCE2	46.597771	-064.004997	Mount Pleasant
CCD4	54.910549	-059.786667	Postville
CCA9	46.481663	-063.953335	Moase
CCR4	46.716667	-065.416664	Rogersville
CCA3	46.443329	-062.592777	Cable Head Airpark
CCK3	47.074993	-067.684998	Grand Falls
CCA7	45.466660	-064.816666	Apple River
CCD3	46.149998	-067.550003	Woodstock
CCB2	46.221382	-063.148613	Middle Stewiacke
CCB4	55.897499	-060.907776	Davis Inlet
CCB6	44.677776	-065.604721	Clementsport Maplecove
CCC2	47.133327	-055.333332	Winterland
CCD2	49.478886	-056.178055	Springdale
CCA6	52.566936	-055.784721	Williams Harbour
CDH1	45.354160	-079.151390	Deerhurst Resort
CDA3	45.396660	-063.215557	Valley
CDY3	49.653885	-054.239166	Fogo
CDK4	46.951660	-066.571114	Renous
CDJ4	46.716667	-066.832779	Clearwater
CDH3	43.962219	-065.994164	Finlay
CDA6	46.459995	-067.565002	Bristol
CDA4	47.718056	-064.868889	Pokemouche
CDA2	45.735550	-063.318333	Tatamagouche
CDC4	47.516663	-067.416664	St-Quentin
CDA5	47.773602	-059.313057	St Andrews
CEN4	50.533329	-113.833336	High River
CET2	55.695278	-111.279167	Leismer
CES4	54.142220	-113.740837	Westlock
CES3	53.683327	-113.701111	St Albert
CER5	55.634716	-111.087776	Conklin
CER3	53.264442	-114.959167	Industrial
CER2	52.216663	-111.933334	Castor
CEQ5	53.916935	-118.874443	Grande Cache
CEQ3	53.040272	-112.815552	Camrose
CEP6	49.283333	-112.199997	Warner
CEN6	50.033333	-112.083336	Vauxhall
CEN3	51.696663	-113.209167	Three Hills
CEN2	50.799999	-112.466667	Bassano
CEM3	63.131664	-117.247498	Wha Ti
CEM5	54.670834	-115.414719	Swan Hills
CEM4	52.078602	-114.027496	Innisfail
CET4	61.866665	-121.366112	Island
CEP5	55.899998	-110.733330	Janvier
CEW3	53.993332	-111.380280	St Paul
CEN5	54.477493	-110.268608	Cold Lake Regl
CEL6	53.699993	-111.783333	Two Hills
CEZ4	58.404163	-115.950836	Ft Vermilion
CEZ2	64.900002	-138.266663	Chapman Lake
CEY3	49.699993	-113.416664	Ft MacLeod
CEX5	59.151939	-118.706947	Zama
CEX4	62.116661	-136.183334	Carmacks
CEZ3	53.427494	-113.115829	Cooking Lake
CEW5	49.133327	-112.050835	Milk River
CET9	61.516663	-120.616669	Jean Marie River
CEV9	63.433327	-116.183334	Snare River
CEV7	53.371109	-112.696663	Tofield
CEV5	53.937496	-115.178886	Mayerthorpe
CEV4	64.116661	-117.316666	Rae Lakes
CEV3	53.514435	-112.027496	Vegreville
CEV2	57.849995	-113.250000	Edra
CEU9	60.439445	-121.236664	Trout Lake
CEU2	55.184166	-119.447502	Beaverlodge
CEX3	52.965549	-113.412224	Wetaskiwin
CED4	54.379993	-116.765556	Fox Creek
CEG2	51.450001	-113.516670	Acme
CEF6	52.574722	-112.084167	Forestburg
CEF4	51.263885	-113.934998	Airdrie
CEF3	49.883327	-111.333336	Bow Island
CEE8	53.099995	-111.866669	Viking
CEE6	53.471107	-113.154434	Twin Island
